gene,mean,variance,detected_fraction
ITM2A,1.9627268314361572,8.072443962097168,0.37072120559741656
NDUFA13,3.599863290786743,8.071383476257324,0.6471474703982777
GMFG,2.2617292404174805,8.03626537322998,0.4185145317545748
ATP5B,3.8468034267425537,8.022398948669434,0.7013993541442411
PSMB3,3.0053110122680664,8.018134117126465,0.5651237890204521
ATP6V0E1,3.5352461338043213,7.980390548706055,0.6486544671689989
TUBA1A,2.713958978652954,7.980168342590332,0.5354144241119483
COX8A,3.6183855533599854,7.97922420501709,0.64994617868676
HIST1H4C,2.8531906604766846,7.976027011871338,0.5459634015069967
HCST,2.0371453762054443,7.957018852233887,0.36404736275565125
UBE2L6,2.8114571571350098,7.938616752624512,0.5494079655543596
ATP5A1,3.6634860038757324,7.921154975891113,0.6805166846071045
LTB,1.7239322662353516,7.909534931182861,0.2986006458557589
HSPB1,2.8084876537323,7.906850337982178,0.5554359526372443
GIMAP4,2.009697437286377,7.90582275390625,0.37481162540365986
ATP6V0B,2.5608503818511963,7.892609596252441,0.48632938643702905
ITGB2,2.328063488006592,7.8638739585876465,0.4706135629709365
GSN,1.9937968254089355,7.861372470855713,0.3832077502691066
PARK7,3.7579104900360107,7.835086345672607,0.6815931108719053
DYNLL1,2.7756717205047607,7.830758094787598,0.527448869752422
SLA,2.144012451171875,7.805392265319824,0.4370290635091496
PSMB9,2.9801244735717773,7.801998138427734,0.5840688912809473
LMNA,2.191195249557495,7.800790309906006,0.4370290635091496
ENO1,4.895763397216797,7.79987907409668,0.8144241119483315
